name,artist,album,URI,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,artist_popularity
Fanática Sensual,Plan B,Love & Sex,0M7RbpMsKOye5oKfukZst0,0.791,0.847,1,-3.657,1,0.0492,0.108,0.0,0.0898,0.902,163.974,241133,4,77
$,Ty Dolla $ign,Campaign,0Nj06bmr9Ec26i4bZiQQ9E,0.87,0.714,2,-4.589,1,0.0501,0.00454,8.97e-06,0.103,0.317,133.033,193045,4,88
Overdose,Little Daylight,Hello Memory,0RDobfQ4AtlQ4EBKkiQkln,0.559,0.897,0,-4.737,0,0.0678,0.00193,0.00818,0.207,0.757,89.992,238834,4,32
I'll Show You,Justin Bieber,Purpose,0SNIAtRCPVVLoGEPcuHSIc,0.361,0.608,9,-6.757,0,0.098,0.05,7.96e-05,0.183,0.0789,191.812,199947,4,98
Write On Me,Fifth Harmony,7/27,0UnhE0UhBTBwtnzEXzP0it,0.441,0.692,7,-5.427,0,0.128,0.359,1.94e-06,0.161,0.475,189.879,219560,4,74
What Now,Rihanna,Unapologetic,0aUWfpD3PlSv3FTTKcT2rN,0.402,0.696,8,-4.799,0,0.0448,0.0476,0.0,0.628,0.227,180.158,243093,3,91
This Is What You Came For (feat. Rihanna),Calvin Harris,This Is What You Came For (feat. Rihanna),0azC730Exh71aQlOt9Zj3y,0.631,0.927,9,-2.787,0,0.0332,0.199,0.119,0.148,0.465,123.962,222160,4,86
I Can Be Somebody (feat. Erin McCarley),Deorro,I Can Be Somebody (feat. Erin McCarley),0sxvPuybHVMwEvCSfbJDM6,0.634,0.482,0,-8.398,1,0.0331,0.0168,0.00115,0.147,0.238,127.928,277500,4,70
BO$$,Fifth Harmony,Reflection,1COvXs6jaykXC73h9OSBVM,0.813,0.872,9,-5.224,1,0.107,0.00621,0.0,0.0498,0.736,103.016,171413,4,74
Photograph,Ed Sheeran,x,1HNkqx9Ahdgi1Ixy2xkKkL,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,258987,4,97
Tenerife Sea,Ed Sheeran,x,1HbcclMpw0q2WDWpdGCKdS,0.53,0.346,8,-10.497,1,0.0376,0.697,1.07e-05,0.105,0.359,121.876,241347,4,97
Carnaval,Maluma,PB.DB. The Mixtape,1VG7hlZpY73n8h8NgidVTh,0.74,0.859,0,-4.742,0,0.033,0.0365,1.08e-05,0.0639,0.782,130.011,212040,4,90
Pride,American Authors,What We Live For,1aGECHpgySxBAcLBBMyxlC,0.619,0.869,8,-4.458,1,0.0403,0.0217,0.0,0.359,0.686,103.998,191280,4,71
YOUTH,Troye Sivan,Blue Neighbourhood,1cOyWWUr3oXJIxY0AjJEx9,0.628,0.737,7,-4.437,1,0.041,0.0625,0.0,0.0777,0.592,91.507,185194,4,81
Get Ugly,Jason Derulo,Everything Is 4,1dl3vuXJS9anUXE7XnNP75,0.75,0.683,9,-4.829,0,0.12,0.0462,1.32e-06,0.297,0.539,111.066,200492,4,85
Find You,Zedd,Divergent: Original Motion Picture Soundtrack,1gpF8IwQQj8qOeVjHfIIDU,0.537,0.759,3,-5.622,1,0.0444,0.0267,0.0,0.0947,0.377,127.973,203307,4,80
I'm with You,Avril Lavigne,Let Go,1jlG3KJ3gdYmhfuySFfpO1,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,223067,3,80
Go Big Or Go Home,American Authors,What We Live For,1obisQNOcikRvTdStbW3pG,0.665,0.875,1,-4.272,1,0.0426,0.00939,0.0,0.0897,0.66,122.008,169027,4,71
You & Me (feat. W. Darling),Bassnectar,Noise vs Beauty,21QQ5b9PP7GnWl2GI98kjD,0.493,0.744,7,-4.021,1,0.0342,0.000748,0.384,0.322,0.151,140.041,244286,4,60
In The Night,The Weeknd,Beauty Behind The Madness,25KybV9BOUlvcnv7nN3Pyo,0.505,0.68,7,-4.993,1,0.0714,0.0796,0.0,0.0465,0.539,168.022,235653,3,97
Break a Sweat,Becky G,Break a Sweat,28r9sD2b6FluK7YHjTJ0fl,0.786,0.7,5,-5.041,0,0.059,0.116,0.000204,0.263,0.65,109.021,208240,4,83
On My Way,The Baseballs,Game Day,2EfmUwj0MBiyjiXEkrd4Re,0.537,0.714,2,-7.495,0,0.0453,0.417,9.92e-06,0.0931,0.567,128.083,212398,4,55
Future Looks Good,OneRepublic,Oh My My,2JATE4qxTuVgKEKe12sqLp,0.33,0.548,10,-7.922,1,0.0426,0.214,1.21e-05,0.12,0.559,78.594,210587,3,85
Drag Me Down,One Direction,Made In The A.M.,2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120,4,88
Raging (feat. Kodaline),Kygo,Cloud Nine,2Vhd5uZB4brKHmM0MNxkZo,0.55,0.689,3,-7.76,0,0.094,0.0498,0.0,0.207,0.408,99.904,224487,4,84
Entre Tus Alas,Camila,Dejarte De Amar,2WBivCIGbNwTFgnZFCwqKn,0.206,0.531,6,-7.292,1,0.0345,0.0981,0.0,0.103,0.0953,180.666,246000,3,73
Candy,Plan B,Candy,2YAQa5dl4GWo0GuVliWvdR,0.9,0.858,11,-3.814,0,0.112,0.275,0.0,0.56,0.592,96.006,207529,4,77
Let Me Go (feat. Chad Kroeger),Avril Lavigne,Avril Lavigne (Expanded Edition),2o0V0AATmWmCmMOAFWDuEV,0.385,0.654,4,-6.635,1,0.0342,0.212,0.0,0.136,0.125,164.196,267973,3,80
Miss Movin' On,Fifth Harmony,Better Together,348qSa1KejmhpWgCpsfSxb,0.464,0.845,6,-2.927,1,0.0508,0.0297,6.4e-06,0.302,0.437,75.029,194253,4,74
Love Myself,Hailee Steinfeld,HAIZ,36phXHOKx8rO7CMp2vNX4x,0.617,0.759,0,-6.785,0,0.0678,0.0026,0.0,0.419,0.324,122.924,218773,4,76
Yellow,Coldplay,Parachutes,3AJwUDP919kvQ9QcozQPxg,0.429,0.661,11,-7.227,1,0.0281,0.00239,0.000121,0.234,0.285,173.372,266773,4,92
End of Time,Beyoncé,4,3FPUFltTjg6ClUL2wr9ux6,0.711,0.811,6,-7.503,0,0.219,0.0328,0.000517,0.0649,0.785,117.999,223987,4,87
18,One Direction,FOUR,3JjnGLK8IxkNLvo8Lb3KOM,0.681,0.582,6,-7.76,0,0.0313,0.22,0.0,0.119,0.221,124.038,248360,4,88
Peanut Butter Jelly,Galantis,Pharmacy,3aIhJDHxr1kgTSnutJxPTH,0.708,0.945,5,-3.247,0,0.234,0.00104,0.0803,0.227,0.545,127.96,203133,4,79
Super Bass,Nicki Minaj,Pink Friday,3hlksXnvbKogFdPbpO9vel,0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979,200013,4,90
Look At Me Now (feat. Lil' Wayne & Busta Rhymes),Chris Brown,F.A.M.E. (Expanded Edition),3hsmbFKT5Cujb5GQjqEU39,0.767,0.677,11,-6.128,0,0.184,0.0339,5.51e-06,0.144,0.538,146.155,222587,4,90
Things I'll Never Say,Avril Lavigne,Let Go,3nH2w4Q9yths31lC9C26fT,0.573,0.806,2,-5.172,1,0.0326,0.000598,5.28e-06,0.142,0.589,101.998,223867,4,80
Hey Everybody!,5 Seconds of Summer,Sounds Good Feels Good,3ylFvJfARlPKxGWAJv6Bvf,0.753,0.803,9,-3.737,1,0.0316,0.000938,0.0,0.101,0.853,126.017,196937,4,82
Gone (feat. Ty Dolla $ign),Afrojack,Gone (feat. Ty Dolla $ign),412CkPtLh68KLPg0pLrC53,0.687,0.774,5,-3.851,1,0.0448,0.193,1.28e-06,0.102,0.763,148.05,194595,4,78
Heartbeat,Beckah Shae,Champion,42XIYrqdJeYsDDtaTP1sGb,0.713,0.563,8,-4.793,1,0.0858,0.0687,0.0,0.104,0.644,104.992,226286,4,41
Cheers (Drink To That),Rihanna,Loud,46MDLc0Yip6xCMSsdePOAU,0.576,0.912,9,-3.623,1,0.0403,0.0182,0.0,0.293,0.727,79.981,261747,4,91
Lay You Down Easy (feat. Sean Paul),MAGIC!,Lay You Down Easy (feat. Sean Paul),4FTOFgpECL4tlu8DljL0XM,0.644,0.868,6,-5.301,1,0.0738,0.0476,0.0,0.28,0.947,89.971,163246,4,70
Halo,Beyoncé,I AM...SASHA FIERCE,4JehYebiI9JE8sR8MisGVb,0.508,0.72,11,-5.908,0,0.0628,0.272,0.0,0.0563,0.472,79.983,261640,4,87
X Gon' Give It To Ya,DMX,DMX: The Legacy,4O9ICXbrUTAVR5kkx6xANJ,0.761,0.899,10,-3.09,0,0.183,0.0137,0.0,0.0719,0.673,95.021,217587,4,75
The Night Is Still Young,Nicki Minaj,The Pinkprint,4bBrKDo8rchikwZOtmXbIH,0.656,0.692,1,-6.145,0,0.0563,0.00212,0.00305,0.128,0.693,128.016,227560,4,90
Sledgehammer,Fifth Harmony,Reflection,4rUTAkOU7OkVGeQuyQCHhF,0.671,0.777,2,-4.322,1,0.046,0.0057,0.0011,0.0783,0.289,99.98,230907,4,74
Home,Phillip Phillips,The World From The Side Of The Moon,4rsW3WCZBGwhHfJWuHRwyT,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,210173,4,67
Work from Home (feat. Ty Dolla $ign),Fifth Harmony,7/27,4tCtwWceOPWzenK2HAIJSb,0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,214480,4,74
Bohemian Rhapsody - Remastered 2011,Queen,A Night At The Opera,4u7EnebtmKWzUH433cf5Qv,0.414,0.404,0,-9.928,0,0.0499,0.271,0.0,0.3,0.224,71.105,354320,4,89
Stars,Demi Lovato,Confident,4zj5PQ9sDzqmgWL4qr1eHy,0.596,0.904,11,-5.327,0,0.101,0.1,1.85e-06,0.2,0.805,156.046,188872,4,84
Adiemus,Karl Jenkins,Adiemus - Songs Of Sanctuary,54CAG8n70kKVbFV6l1zF4G,0.295,0.408,4,-16.632,0,0.0693,0.804,0.148,0.165,0.164,150.454,237413,3,62
Thunderstruck,AC/DC,The Razors Edge,57bgtoPSgt236HzfBOd8kj,0.502,0.89,4,-5.175,1,0.0364,0.000147,0.0117,0.217,0.259,133.52,292880,4,85
Cuando Nos Volvamos a Encontrar (feat. Marc Anthony),Carlos Vives,Más + Corazón Profundo,59hfezbTqi7I68O4OyLfcR,0.607,0.867,1,-3.947,1,0.041,0.0234,0.0,0.0828,0.598,102.027,278627,4,78
Make You Feel My Love,Adele,19,5FgPwJ7Nh2FVmIXviKl2VF,0.317,0.172,10,-10.636,1,0.0326,0.907,0.000383,0.105,0.0963,65.18,212040,3,96
"Gone, Gone, Gone",Phillip Phillips,The World From The Side Of The Moon,5L79aNYCTKiZq7vaOElXYj,0.664,0.642,6,-5.961,1,0.038,0.129,0.0,0.114,0.501,118.002,209693,4,67
Happily,One Direction,Midnight Memories (Deluxe),5Lf9rCqReE9Ri4tZvLRLuy,0.623,0.89,9,-4.783,1,0.0394,0.0426,0.0,0.153,0.824,117.0,175480,4,88
Happy Birthday (feat. John Legend),Kygo,Cloud Nine,5SAckbSHhNJ41b3bn5XwPL,0.596,0.576,3,-7.636,1,0.103,0.31,0.0,0.112,0.159,107.963,250467,4,84
Bacon,Nick Jonas,Last Year Was Complicated,5W4vPDfwFNQqt7frRjL41t,0.709,0.698,1,-5.182,1,0.0799,0.0738,0.0,0.272,0.755,143.951,182947,4,71
Boom!,Simple Plan,Taking One for the Team,5aJS6QDKNQBwXcy0302gdY,0.457,0.957,7,-3.026,1,0.1,0.000938,0.0,0.265,0.3,160.103,190320,4,72
7 Years,Lukas Graham,Lukas Graham,5kqIPrATaCc2LqxVWzQGbk,0.765,0.473,10,-5.829,1,0.0514,0.287,0.0,0.391,0.34,119.992,237300,4,77
I Don't Wanna Go to Bed (feat. Nelly),Simple Plan,Taking One for the Team,5qa9qaltQNHzQGx4W7gNjW,0.722,0.807,7,-4.425,0,0.0452,0.0446,0.0,0.333,0.842,110.022,188587,4,72
Choke,OneRepublic,Oh My My,5xtliWYBVT4cKo9BtBn43B,0.582,0.607,4,-6.397,0,0.0346,0.302,0.0,0.116,0.263,92.021,226760,4,85
Impossible,James Arthur,James Arthur (Deluxe),5yVIlYEHZxQVLyInCdldoS,0.376,0.695,0,-4.782,0,0.0933,0.135,0.0,0.11,0.302,169.533,209440,4,84
Desire - Gryffin Remix,Years & Years,Desire,6JzCO4ZzxAXhY86vTcqM1Q,0.543,0.876,10,-5.069,0,0.0512,0.0606,0.0,0.157,0.415,122.058,268840,4,74
Call If You Need Me,Galantis,Pharmacy,6TBSEJyK3DvAtR3l0aLeCY,0.385,0.853,10,-2.69,1,0.0359,0.0445,0.0473,0.187,0.484,120.422,241480,4,79
Kamikaze,MØ,Kamikaze,6TjP1C3sGQH1jBfzUXfcMg,0.663,0.878,1,-3.195,0,0.0646,0.0368,3.39e-06,0.328,0.704,158.035,214240,4,74
Jet Black Heart,5 Seconds of Summer,Sounds Good Feels Good,6U0D8PIh75fnX6T6TWJLxl,0.507,0.85,11,-4.274,0,0.033,0.000163,0.0,0.0812,0.545,153.957,221716,4,82
Vapor,5 Seconds of Summer,Sounds Good Feels Good,6V6Xoa7CRJJRoe7f9hRdAe,0.507,0.861,1,-4.574,1,0.0434,0.0117,0.0,0.121,0.531,155.071,179091,4,82
We Know The Way,Opetaia Foa'i,Moana,6YH2r9NyEJTjlRmKOCvxgJ,0.689,0.578,9,-8.737,1,0.0368,0.36,0.0,0.11,0.391,98.043,141413,4,62
Summer,Calvin Harris,Motion,6YUTL4dYpB9xZO5qExPf05,0.596,0.856,4,-3.556,0,0.0346,0.0211,0.0178,0.141,0.743,127.949,222533,4,86
I Found A Girl,The Vamps,Wake Up,6YZOPDWjsa6BPOWLge5gKg,0.717,0.856,4,-4.68,1,0.0565,0.118,0.0,0.274,0.645,89.982,179440,4,76
A Thousand Years,Christina Perri,A Thousand Years,6lanRgr6wXibZr8KgzXxBl,0.421,0.407,10,-7.445,1,0.0267,0.309,0.000961,0.11,0.161,139.028,285120,3,76
Half a Heart,One Direction,Midnight Memories (Deluxe),6nIE1oCE4udqMGv3bqVNVb,0.515,0.714,0,-4.516,1,0.0348,0.286,0.0,0.118,0.495,155.954,188547,4,88
Like A Champion,Selena Gomez,Stars Dance,6vftvAdsEAAJTGQrUmHnei,0.705,0.903,9,-4.091,0,0.118,0.0736,0.0,0.185,0.935,90.001,175760,4,86
No soy una de esas (feat. Alejandro Sanz),Jesse & Joy,No Soy Una De Esas (feat. Alejandro Sanz),7C3l4enZ2M60ZFIWdvgVyh,0.644,0.948,10,-3.521,0,0.161,0.0782,0.0,0.388,0.807,99.938,210733,4,77
I Lived,OneRepublic,Native,7D49Iig0avHre9RFSUMkd2,0.599,0.854,9,-5.429,1,0.0436,0.0746,0.0,0.278,0.311,119.986,234547,4,85
The Feeling,Justin Bieber,Purpose,7E390nZTMqEbrNC1TmHd42,0.525,0.809,1,-6.185,0,0.0619,0.0819,1.22e-06,0.0971,0.21,127.073,244907,4,98
I Lied,Fifth Harmony,7/27,7EvIMAbhkHXcV8rHbOyNzh,0.674,0.778,8,-4.961,0,0.179,0.0774,0.0,0.308,0.492,118.039,203587,4,74
Sígueme Y Te Sigo,Daddy Yankee,Sígueme Y Te Sigo,7F7kL3i6SDEIbDcoJZGiig,0.736,0.878,1,-3.604,0,0.0428,0.069,6.39e-05,0.756,0.663,100.025,209787,4,89
The Only Exception,Paramore,Brand New Eyes,7JIuqL4ZqkpfGKQhYlrirs,0.452,0.563,4,-6.607,1,0.0272,0.144,0.0,0.143,0.209,137.715,267653,3,80
I Know What You Did Last Summer,Shawn Mendes,Handwritten (Revisited),7M9t7BCy51ITF8IMyiemzk,0.685,0.767,9,-4.628,0,0.0974,0.106,0.0,0.163,0.722,113.827,223827,4,89
The Hills,The Weeknd,Beauty Behind The Madness,7fBv7CLKzipRk6EC6TWHOB,0.585,0.564,0,-7.063,0,0.0515,0.0671,0.0,0.135,0.137,113.003,242253,4,97
You,Galantis,Pharmacy,7gUg4GdOA6Y6yRDe36GIjK,0.184,0.871,8,-3.245,0,0.0661,0.00837,0.167,0.15,0.21,127.972,221286,4,79
"Bad Man (feat. Robin Thicke, Joe Perry & Travis Barker)",Pitbull,"Bad Man (feat. Robin Thicke, Joe Perry & Travis Barker)",7hpPwrcPE3Ah3qSiQYFUTE,0.636,0.971,2,-4.304,1,0.0639,0.0086,4.8e-06,0.196,0.53,120.025,214727,4,86
Sympathy For The Devil,The Rolling Stones,Beggars Banquet,7lJt7vBDNUO8Mv8uELND1H,0.658,0.675,9,-10.967,1,0.242,0.604,0.0,0.0428,0.587,115.574,377760,4,82
The Best Damn Thing,Avril Lavigne,The Best Damn Thing (Expanded Edition),7lmX3dD2Xy13Jo1oCTR4ot,0.555,0.943,2,-2.492,1,0.0891,0.00187,3.92e-05,0.151,0.882,165.027,189200,4,80
All In My Head (Flex) (feat. Fetty Wap),Fifth Harmony,7/27,7nD9nN3jord9wWcfW3Gkcm,0.689,0.791,0,-5.194,0,0.053,0.023,0.0,0.0526,0.755,95.04,210573,4,74
It's a Long Way to the Top (If You Wanna Rock 'N' Roll),AC/DC,High Voltage,7nemcVsXVFZF01iqpIIo2Y,0.456,0.863,3,-3.551,1,0.0894,0.133,0.0538,0.0553,0.532,135.962,301227,4,85
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,7o2CTH4ctstm8TNelqjb51,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,354520,4,82
Top Down,Fifth Harmony,Reflection,7p9IBJDHBbUh0vBUOsrW3C,0.831,0.677,1,-4.363,1,0.0429,0.244,1.34e-06,0.0443,0.759,101.025,220320,4,74
Never Enough,One Direction,Made In The A.M.,7rdP71W8x4UbJ0KAKBACbo,0.579,0.779,4,-1.829,0,0.0512,0.0379,0.0,0.385,0.587,164.145,213440,3,88
Gyal You A Party Animal,Charly Black,Gyal You A Party Animal,7rj8aNwZqTvrUeLlAyNWtZ,0.588,0.841,0,-5.138,1,0.0932,0.026,0.0,0.33,0.871,134.577,214867,5,65
Suéltate,Mando,Suéltate,7uJNNH7qsy4f4ZWcXzRED8,0.71,0.833,11,-3.869,0,0.0407,0.0673,0.0,0.128,0.796,100.054,196893,4,32
Hall of Fame (feat. will.i.am),The Script,#3 Deluxe Version,7wMq5n8mYSKlQIGECKUgTX,0.421,0.873,10,-4.343,1,0.0564,0.0654,0.0,0.123,0.629,84.786,202533,4,77
Second Chances,Imagine Dragons,Smoke + Mirrors,7z3AlZQ8NaPpB1Yic5cIDJ,0.401,0.567,10,-9.131,1,0.0355,0.171,0.00859,0.103,0.362,171.059,217973,3,92
Homemade Dynamite,Lorde,Melodrama,02oAUzv4M0ItuTDy2RT3IT,0.771,0.431,10,-5.423,1,0.0577,0.287,2.75e-06,0.0934,0.268,107.047,189796,4,81
Guerra,Residente,Residente,04zodNGYYLI7Q7DsFgQAql,0.519,0.748,9,-5.938,1,0.075,0.0997,0.0,0.12,0.297,150.045,334667,3,67
Let's Hurt Tonight,OneRepublic,Oh My My,05sCp83gcMm1iecYydKJS3,0.359,0.713,5,-4.526,1,0.0366,0.33,0.0,0.324,0.272,61.519,194520,4,85
Glorious (feat. Skylar Grey),Macklemore,GEMINI,0CokSRCu5hZgPxcZBaEzVE,0.731,0.794,0,-5.126,0,0.0522,0.0323,2.59e-05,0.112,0.356,139.994,220454,4,78
Feel Good (feat. Daya),Gryffin,Feel Good (feat. Daya),0Ev562zA4pmUsBqjxsxxdx,0.625,0.707,2,-4.761,1,0.0337,0.22,0.0,0.213,0.479,138.064,248156,4,75
Shape of You,Ed Sheeran,Shape of You,0FE9t6xYkqWXU2ahLh6D8X,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,233713,4,97
Robarte un Beso,Carlos Vives,VIVES,0JcNysfWVWaMS7R6vzGB2k,0.742,0.859,10,-4.942,1,0.0482,0.0824,0.0,0.359,0.652,95.046,194742,4,78
Good Life (with G-Eazy & Kehlani),G-Eazy,Good Life (with G-Eazy & Kehlani),0Oa9mHOnH14GZ4toWwkf4c,0.572,0.778,1,-5.208,1,0.233,0.00638,0.0,0.0563,0.54,168.073,225520,4,82
No More Sad Songs (feat. Machine Gun Kelly),Little Mix,Glory Days,0U372D2pbraSnrTFxSYlNj,0.709,0.778,7,-3.533,0,0.046,0.0782,8.3e-06,0.306,0.7,102.022,225200,4,84
Please Be Naked,The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",0UyfKV5iafZCCtQxRBbe85,0.211,0.579,0,-10.09,1,0.0582,0.934,0.911,0.174,0.0817,115.786,265840,4,78
Down (feat. Gucci Mane),Fifth Harmony,Fifth Harmony,0XQHz5C8PknyrEhyrKxVKa,0.53,0.512,8,-7.094,1,0.133,0.0162,7.04e-05,0.128,0.401,196.121,165200,4,74
Galway Girl,Ed Sheeran,÷,0afhq8XCExXpqazXczTSve,0.624,0.876,9,-3.374,1,0.1,0.0735,0.0,0.327,0.781,99.943,170827,4,97
Believer,Imagine Dragons,Evolve,0pqnGHJpmpxLKifKRmU6WP,0.776,0.78,10,-4.374,0,0.128,0.0622,0.0,0.081,0.666,124.949,204347,4,92
Higher,The Score,ATLAS,0sJ4NbFdEhgLOtInlbRmFl,0.449,0.745,9,-5.045,0,0.0327,0.00342,0.0,0.295,0.465,83.918,214613,4,76
Your Number REMIX (feat. Chris Brown & Kid Ink),Ayo Jay,Your Number REMIX (feat. Chris Brown & Kid Ink),0v9w61bEVbIgYbVu0frJag,0.752,0.595,9,-6.763,0,0.121,0.18,0.0,0.291,0.746,100.021,271607,4,54
Solo Dance,Martin Jensen,Solo Dance,10AsRVRdU07cMAFHeGYO3c,0.746,0.846,9,-2.432,1,0.048,0.0485,0.0,0.195,0.403,114.955,174933,4,73
Most Girls,Hailee Steinfeld,Most Girls,10GJQkjRJcZhGTLagFOC62,0.756,0.572,9,-7.019,1,0.0763,0.0478,0.0,0.0853,0.417,102.986,204400,4,76
Castle,Halsey,BADLANDS,16w8ZGVSjI4TlTLV8VimBY,0.626,0.571,7,-7.461,0,0.0327,0.25,0.0,0.0946,0.164,129.959,277623,4,87
Stay - Acoustic,Zedd,Stay,1EXxVBTTTzjgon6hWh3TuD,0.625,0.574,5,-7.383,0,0.028,0.094,0.0,0.298,0.294,100.06,195051,4,80
Young,The Chainsmokers,Memories...Do Not Open,1KeZgPUr54C8iz3FjqzVoz,0.615,0.564,9,-6.384,1,0.0291,0.0105,0.0,0.148,0.454,103.006,224773,4,84
hell is where i dreamt of u and woke up alone,blackbear,digital druglord,1PcU7Qy3VUgeYaByCThdm9,0.588,0.199,7,-11.615,1,0.0573,0.924,0.0,0.13,0.329,136.769,168429,4,85
Ride,Naïka,Ride,1WCsEbnaJ0yKNQCETD2ruC,0.736,0.747,2,-6.673,1,0.0551,0.0968,5.21e-06,0.0952,0.532,96.993,201311,4,52
Glitter & Gold,Barns Courtney,The Dull Drums - EP,1aJtyIMev4kW8IMUxOjn1Y,0.487,0.626,1,-5.087,1,0.0383,0.345,0.0,0.197,0.352,170.002,176147,4,65
Shed a Light,Robin Schulz,Shed a Light,1cG0umU5TKStygKsPFZ9pY,0.483,0.787,8,-5.244,1,0.102,0.112,0.0,0.257,0.58,122.058,191379,4,82
Something Just Like This,The Chainsmokers,Something Just Like This,1dNIEtp7AY3oDAKCGg2XkH,0.607,0.649,11,-6.695,0,0.0362,0.0306,2.46e-05,0.174,0.505,102.996,247627,4,84
How Far I'll Go - Alessia Cara Version,Alessia Cara,Moana,1ehPJRt49h6N0LoryqKZXq,0.31,0.54,9,-9.629,1,0.346,0.163,0.000129,0.0713,0.148,180.994,175507,4,81
Touch,Little Mix,Glory Days,1gG5MoWK5SmHUcQPa2jxdP,0.606,0.718,4,-4.094,1,0.0978,0.032,0.0,0.402,0.551,101.821,213307,4,84
Dirty Paws,Of Monsters and Men,My Head Is An Animal,1hxq7kWQnwdhxgpEugBMGk,0.359,0.648,3,-7.06,1,0.035,0.108,0.0135,0.0555,0.133,111.733,278373,4,73
Heaven,OneRepublic,Oh My My,1lFHaHvZeLf6XrOqX6iLlS,0.585,0.724,10,-6.658,0,0.0321,0.0607,0.0,0.105,0.37,95.009,258947,4,85
Here,Alessia Cara,Know-It-All,1wYZZtamWTQAoj8B812uKQ,0.376,0.821,0,-3.974,1,0.104,0.0785,0.0,0.0823,0.331,120.462,199453,4,81
WILD,Troye Sivan,Blue Neighbourhood,2HWWsTZxnLSUdFZ4gjsP5N,0.581,0.725,0,-5.349,0,0.0592,0.0235,0.0,0.304,0.394,89.989,227872,4,81
Gasoline,Halsey,BADLANDS,2IO7yf562c1zLzpanal1DT,0.731,0.58,10,-7.328,0,0.0399,0.223,0.0,0.129,0.319,119.997,199593,4,87
I'm Yours,Alessia Cara,Know-It-All,2V3VjHLVEOdW33N4ckwEhq,0.504,0.83,11,-3.383,0,0.125,0.00581,0.0,0.181,0.399,102.978,228680,4,81
Wild Things,Alessia Cara,Know-It-All,2ZyuwVvV6Z3XJaXIFbspeE,0.741,0.626,1,-4.826,0,0.0886,0.02,0.0,0.0828,0.706,108.029,188493,4,81
Empire,Of Monsters and Men,Beneath The Skin,2cyVJ8V7rSLiBQNx2NvdB3,0.504,0.692,5,-6.32,0,0.0321,0.000422,0.000761,0.0919,0.544,118.96,260413,4,73
This Is My World,Esterly,This Is My World,2dLHezrk5FdSzM8gftvKqh,0.602,0.625,8,-5.165,1,0.0394,0.0667,4.72e-06,0.112,0.389,86.036,189767,4,44
Wolves Without Teeth,Of Monsters and Men,Beneath The Skin,2mueIraiRiGExPHAS0fkho,0.362,0.72,11,-6.169,0,0.0334,0.00108,0.000417,0.332,0.436,135.637,232973,5,73
Messy,Fifth Harmony,Fifth Harmony,2omoGiB3LnBd1gHzvMUMTy,0.579,0.675,0,-4.978,1,0.0503,0.627,0.0,0.14,0.349,92.974,194227,4,74
Nancy Mulligan,Ed Sheeran,÷,35QZaWQRkmnAVqBF1TLCxQ,0.68,0.852,7,-4.35,1,0.0349,0.117,0.0,0.0866,0.858,101.993,179787,4,97
Barcelona,Ed Sheeran,÷,3Lfiu5sZ4M4B6JaKMBc0FU,0.747,0.76,1,-4.294,1,0.187,0.448,0.0,0.153,0.682,99.975,191147,4,97
Legend,The Score,ATLAS,3SWqGa1J0M7hSBUDM0KePD,0.601,0.757,2,-3.341,1,0.028,0.0139,8.85e-05,0.0727,0.462,82.001,189120,4,76
Lot to Learn,Luke Christopher,TMRW,3TRFq09DUgYj1mug6RRqJW,0.405,0.846,6,-3.57,1,0.195,0.0948,0.0,0.0666,0.602,82.232,248337,4,55
Real Gone,Sheryl Crow,Cars,45dGKmN6jw7PgK6Dw2rEp2,0.608,0.785,11,-5.346,0,0.0472,0.00173,0.0,0.0762,0.806,117.983,200733,4,69
Mama,Jonas Blue,Mama,47OVNnZJzIkrsEiZ4n187p,0.737,0.792,11,-4.117,0,0.0416,0.102,0.0,0.0532,0.543,104.012,184134,4,79
Wherever You Are,5 Seconds of Summer,She Looks So Perfect,4EJ47mizXZd7wupGMxmQwE,0.562,0.815,0,-4.821,1,0.0298,0.0171,3.56e-06,0.136,0.459,91.984,191107,4,82
Inside Out,The Chainsmokers,Collage EP,4GdYM1hIvRfK8keBF2eQ1a,0.549,0.652,7,-5.875,0,0.0311,0.00289,1.49e-05,0.138,0.141,143.963,233573,4,84
Power (feat. Stormzy),Little Mix,Glory Days,4QVFtAswXqPoAWRLo5yu8a,0.586,0.865,7,-4.092,1,0.319,0.0345,5.7e-06,0.165,0.468,172.912,242293,4,84
